Date (date),Country Name (country_name),ISO Alpha 3 Code (alpha_3_code),Country Code (country_code),Region Name (region),Region Code (region_code),Sub-Region Name (sub_region),Sub-Region Code (sub_region_code),Harmonized System Code (hs_code),Commodity Name (commodity),Unit of Quantity (unit),Quantity of commodity (value_qt),Value of commodity quantity in INR (value_rs),Value of commodity quantity in US Dollars (value_dl)
"2024-09-01","France","FRA","250","Europe","150","Western Europe","155","62062000","Womens Or Girls Blouses,Shirts And Shirt Blouses Of Wool/Fine Animal Hair","Nos","72.0","0.01","0.0"
"2019-03-01","France","FRA","250","Europe","150","Western Europe","155","61083210","Nightdresses And Pyjamas Of Syn Fibres","Nos","10.97","21.32","0.03"
"2018-11-01","Kingdom of the Netherlands","NLD","528","Europe","150","Western Europe","155","39219092","Othr Plts,Shts,Film Foil,Strip Etc Nes Flexible, Lacquered","Kgs","3.99","17.34","0.02"
"2017-04-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","39269061","Hangers Of Polyurethane Foam","Kgs","16.92","17.36","0.03"
"2024-07-01","Spain","ESP","724","Europe","150","Southern Europe","39","73269060","Manufactrs Of Stnles Stl(Excl Utnsils),Nes","Kgs","11420.0","0.47","0.06"
"2015-06-01","Hungary","HUN","348","Europe","150","Eastern Europe","151","84139190","Others","Kgs","0.02","0.33","0.0"
"2024-05-01","Germany","DEU","276","Europe","150","Western Europe","155","84829119","Other Balls","Kgs","12058.0","0.31","0.04"
"2017-10-01","United Kingdom of Great Britain and Northern Ireland","GBR","826","Europe","150","Northern Europe","154","32041719","Others Pigment Yellow (Organic)","Kgs","23.06","111.05","0.17"
"2021-11-01","Switzerland","CHE","756","Europe","150","Western Europe","155","90303390","Others","Nos","0.01","5.12","0.01"
"2016-03-01","Belgium","BEL","56","Europe","150","Western Europe","155","39235090","Othr Stoprs Lid Capsandothr Clsres Of Plstcs","Kgs","7.7","14.26","0.02"
"2016-09-01","France","FRA","250","Europe","150","Western Europe","155","72192122","Univrsl Plts Of Stnls Stl/Heat Rstng Stl, Nickl Chromium Austenitic Type,>=14 Mm","Kgs","3.0","4.19","0.01"
